Name;Price;Link;Img;Color;Category;Subcategory
"FLARE FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/flare-fit-jeans-p00840444.html?v1=498035279&v2=2432121";"https://static.zara.net/assets/public/139f/3d0f/4b844e1b8f33/a273cb1be6c8/05585444802-a1/05585444802-a1.jpg?ts=1772118408340&w=302";"Grey";"JEANS";"FLARE"
"FLARE FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/flare-fit-jeans-p00840444.html?v1=498035278&v2=2432121";"https://static.zara.net/assets/public/6d54/babf/d71d4ed8adfa/1338d9395855/05585444427-a1/05585444427-a1.jpg?ts=1772118401783&w=302";"Mid-blue";"JEANS";"FLARE"
"FLARE FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/flare-fit-jeans-p00840444.html?v1=498035277&v2=2432121";"https://static.zara.net/assets/public/fc72/8d9a/dbe6405bb1aa/fd2e3c05a1f4/00840444800-a1/00840444800-a1.jpg?ts=1772118412736&w=302";"Black";"JEANS";"FLARE"
"RIPPED FLARE FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/flare-fit-jeans-p00840444.html?v1=498035276&v2=2432121";"https://static.zara.net/assets/public/2bbe/b866/17a24d458b8d/4566d411e952/00840353822-000-a1/00840353822-000-a1.jpg?ts=1772015037822&w=302";"Charcoal";"JEANS";"FLARE"
"RIPPED FLARE FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/ripped-flare-jeans-p04048439.html?v1=495716377&v2=2432121";"https://static.zara.net/assets/public/3cbb/7b7e/32ee4cf9bb8e/1a6242a879e4/04048439822-000-a1/04048439822-000-a1.jpg?ts=1772014048484&w=302";"NO_COLOR";"JEANS";"FLARE"
"FLARE FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/flare-fit-jeans-p00840353.html?v1=495669557&v2=2432121";"https://static.zara.net/assets/public/c0d6/1d90/f78b4adf8aa0/8ad956ed81d2/00840353802-a1/00840353802-a1.jpg?ts=1772701032549&w=302";"Grey";"JEANS";"FLARE"
"FLARE FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/flare-fit-jeans-p00840353.html?v1=495669553&v2=2432121";"https://static.zara.net/assets/public/edc5/697d/c5fb4bfea74c/dcbaacbd3642/00840353445-030-a1/00840353445-030-a1.jpg?ts=1771934863643&w=302";"Blue / Green";"JEANS";"FLARE"
"FLARE FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/flare-fit-jeans-p00840353.html?v1=495669554&v2=2432121";"https://static.zara.net/assets/public/2bbe/b866/17a24d458b8d/4566d411e952/00840353822-000-a1/00840353822-000-a1.jpg?ts=1772015037822&w=302";"Charcoal";"JEANS";"FLARE"
"STRUCTURED FLARE FIT JEANS";"219.00 PLN";"https://www.zara.com/pl/en/structured-flare-fit-jeans-p01300423.html?v1=502267322&v2=2432121";"https://static.zara.net/assets/public/ff66/491c/a1a9461c94eb/9797ee1ad76f/01300423043-000-a1/01300423043-000-a1.jpg?ts=1772014028241&w=302";"NO_COLOR";"JEANS";"FLARE"
"FLARE FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/flare-fit-jeans-p00840444.html?v1=498035275&v2=2432121";"https://static.zara.net/assets/public/542f/623e/fe054b0ba878/c0691d1c92fe/00840444700-000-a1/00840444700-000-a1.jpg?ts=1771934869137&w=302";"Brown";"JEANS";"FLARE"
"FLARE FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/flare-fit-jeans-p00840353.html?v1=495669556&v2=2432121";"https://static.zara.net/assets/public/d8a9/b217/ac624d9f8f40/f147fb3f4346/00840353427-000-a1/00840353427-000-a1.jpg?ts=1771934862942&w=302";"Mid-blue";"JEANS";"FLARE"
"CHINO WIDE FLARE FIT JEANS";"219.00 PLN";"https://www.zara.com/pl/en/wide-flare-fit-chino-jeans-p03991419.html?v1=504031171&v2=2432121";"https://static.zara.net/assets/public/acb1/82d8/e2d9441599b1/199ce44aa8f3/03991419703-000-a1/03991419703-000-a1.jpg?ts=1771934905696&w=302";"NO_COLOR";"JEANS";"FLARE"
"FLARE FIT JEANS";"199.00 PLN";"https://www.zara.com/pl/en/flare-fit-jeans-p05585418.html?v1=512819491&v2=2432121";"https://static.zara.net/assets/public/ffc8/ec14/03d7447486c9/5ac6f02d5cd5/05585418716-a1/05585418716-a1.jpg?ts=1770829186488&w=302";"NO_COLOR";"JEANS";"FLARE"
"FLARE FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/flare-fit-jeans-p00840429.html?v1=506569688&v2=2432121";"https://static.zara.net/assets/public/2a1b/1bbf/0cd141f08871/dc52cf69c6c3/00840429406-000-a1/00840429406-000-a1.jpg?ts=1772014009736&w=302";"NO_COLOR";"JEANS";"FLARE"
"FLARE FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/flare-fit-jeans-p01300421.html?v1=502267315&v2=2432121";"https://static.zara.net/assets/public/b099/ee70/9935462a9fb8/31e7dae5d4fd/01300421400-000-a1/01300421400-000-a1.jpg?ts=1772014028754&w=302";"NO_COLOR";"JEANS";"FLARE"
"FLARE FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/flare-fit-jeans-p00840463.html?v1=515457924&v2=2432121";"https://static.zara.net/assets/public/1316/135d/1a294b019c6b/feb1d1ef66b4/00840463490-000-a1/00840463490-000-a1.jpg?ts=1771934872929&w=302";"NO_COLOR";"JEANS";"FLARE"
"FLARE FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/flare-fit-jeans-p00840488.html?v1=509586798&v2=2432121";"https://static.zara.net/assets/public/97c6/34c3/298d41029b5f/b28e7a626935/00840479406-a1/00840479406-a1.jpg?ts=1773135871091&w=302";"Light blue";"JEANS";"FLARE"
"FLARE FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/flare-fit-jeans-p00840488.html?v1=509586796&v2=2432121";"https://static.zara.net/assets/public/9526/ee51/8a004ec5acef/ee84b8c0aba7/00840479822-a1/00840479822-a1.jpg?ts=1772612777880&w=302";"Charcoal";"JEANS";"FLARE"
"FLARE FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/flare-fit-jeans-p00840488.html?v1=509586795&v2=2432121";"https://static.zara.net/assets/public/3db5/c45c/d50345a99fa5/c04c67b2e1f2/00840488445-a1/00840488445-a1.jpg?ts=1772612776264&w=302";"Blue / Green";"JEANS";"FLARE"
"REGULAR FIT JEANS";"179.00 PLN";"https://www.zara.com/pl/en/regular-fit-jeans-p03991425.html?v1=511915240&v2=2640740";"https://static.zara.net/assets/public/8a41/0ddd/950f4a50996c/cbd97313553f/03991425400-a1/03991425400-a1.jpg?ts=1772798052481&w=302";"NO_COLOR";"JEANS";"REGULAR"
"REGULAR FIT JEANS";"129.00 PLN";"https://www.zara.com/pl/en/regular-fit-jeans-p04048340.html?v1=495689164&v2=2640740";"https://static.zara.net/assets/public/3dd1/e93e/edd2422aab44/a894a953f55d/04048340822-000-a1/04048340822-000-a1.jpg?ts=1772014043915&w=302";"Charcoal";"JEANS";"REGULAR"
"REGULAR FIT JEANS";"129.00 PLN";"https://www.zara.com/pl/en/regular-fit-jeans-p04048440.html?v1=495707337&v2=2640740";"https://static.zara.net/assets/public/0ab7/4505/93264f159170/c361b806eb80/04048440427-000-a1/04048440427-000-a1.jpg?ts=1771934926528&w=302";"Mid-blue";"JEANS";"REGULAR"
"REGULAR FIT JEANS";"129.00 PLN";"https://www.zara.com/pl/en/regular-fit-jeans-p04048340.html?v1=495689166&v2=2640740";"https://static.zara.net/assets/public/7913/60d9/e6584ffbb0af/4b36b1f4bd81/04048340802-000-a1/04048340802-000-a1.jpg?ts=1771934914554&w=302";"Grey";"JEANS";"REGULAR"
"REGULAR FIT JEANS";"129.00 PLN";"https://www.zara.com/pl/en/regular-fit-jeans-p04048440.html?v1=495707340&v2=2640740";"https://static.zara.net/assets/public/4b14/665e/027b46e386cd/21c5ca7ca824/04048440407-000-a1/04048440407-000-a1.jpg?ts=1771934926704&w=302";"Blue";"JEANS";"REGULAR"
"REGULAR FIT JEANS";"129.00 PLN";"https://www.zara.com/pl/en/regular-fit-jeans-p04048440.html?v1=495707336&v2=2640740";"https://static.zara.net/assets/public/6172/a2b9/0d424b429149/a5b205bbeabb/04048440822-000-a1/04048440822-000-a1.jpg?ts=1771934926889&w=302";"Charcoal";"JEANS";"REGULAR"
"REGULAR FIT JEANS";"129.00 PLN";"https://www.zara.com/pl/en/regular-fit-jeans-p04048340.html?v1=495689165&v2=2640740";"https://static.zara.net/assets/public/fbd8/9e9c/bf2f4f508823/4575034dc151/04048340427-000-a1/04048340427-000-a1.jpg?ts=1772014040688&w=302";"Mid-blue";"JEANS";"REGULAR"
